,oso_project_name,oso_display_name,round_number,oso_generated_round_label,gitcoin_project_id,num_donors,crowd_funding_usd,match_funding_usd
1370,project-vinyl,Project Vinyl,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x7e50e6e9898aba467a5b91a6bf05dddcbfaded081fc569b48cd9af32682f2ebd,268,283.25812849098884,62.404731999999996
1371,fabdaotw,FABDAO,22,GG-22 - 608,0x176b432bca05f1ef7224fc150592dc29a6ed22c5b0accffca2b4fc69beaf9adb,42,78.11702682590112,62.33461
1372,blockchainedindia,Blockchained India,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xaf1ede008f086d349f59f4e1b0e6adac6321cc99573d24b5fef3b1ee65af4f5d,40,49.313690090293676,62.25471932812499
1373,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xd633b7b93b59c9185f636843b989c6d1b29c3558ec9383185d8b7f223aef8c80,32,27.15440838597715,61.239555281250006
1374,somos-colledge,Colledge,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x1cc5f7e3823e7928ff4eae98663847a121815ea2061f47a0cf6b128b6c9ffdfb,33,42.06968625126319,60.50458665625
1375,dspytdao,Dspyt DAO,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x1207e7650bc9cd89d2ae967b0b63f591162bbe5fc2f64dea3a749dfda5b67449,243,351.3325784394751,60.00455
1376,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x41e3f453e6045fe2ebe8d72e56c6c0e690f94a9af6886aa0fd17cdf275fe01f6,25,32.30113524198532,59.838650421875
1377,robo-labs,Robo Labs,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x4e644a39d629589c1bf4ac5bb01d3f3e0830bfcb92bf262e5e979f22bb3af085,277,414.57807558765353,57.0043225
1378,benzin-web3-oss,Benzin,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x82cfc9f3289679782277f86e44ef5c078c8fde2c3b64c3ae925104dc25f675e1,269,513.2502377838741,56.40427699999999
1379,open-cann,OpenCann,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x6f4d991c607e2802e305ef9797dd63f6bf7466d0a512568fb0d696394020123e,207,316.75362387764335,56.10425425
1380,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xa89c0fbe8b13db9c4b5baed4139f121011a51ebef5d37825bb900d0172c7e5d2,27,25.35321582108736,55.63593584375
1381,likecoin,LikeCoin,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0xe85ae7069567808a5f50ff0362c6dc6bfbc811f4e4fadc94df725ece1c022533,198,457.75588182173533,53.704072249999996
1382,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x4c1030cb86a017a67d74cb57a2b3d2094385c26a0b17217aa26aad340e1a23cc,46,39.31422062125057,53.50405596875
1383,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x1f4a582842b97aceb4b9fcd7c1f315b37f01a601190c9e3e8f2791cd729a2abb,24,38.74401464685798,53.434513921874995
