date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-derive,forecasted_TVL_opchain-derive,forecasted_TVL-derive_v1_protocol,forecasted_TVL_opchain-derive_v1_protocol,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-11-25 00:00:00,0.357802567213165,0.11904431199678206,0.23462619885334043,1.3518524601944022e-05,0.0,0.0,60203530.72830196,55022714.279874384,1093185.111365215,1470239.4617709497,50305646.684610136,57472641.07164134
2024-11-26 00:00:00,0.3864485571467234,0.23729711095972697,0.18265714107827122,7.433653164006409e-06,0.0,0.0,59685523.582115196,59771062.31477754,928510.071299433,1388159.793541344,45329248.59253171,52012152.135502174
2024-11-27 00:00:00,0.39073251710190915,0.31226729191502767,0.12755011870821856,5.455350472597519e-06,0.0,0.0,65279513.85766034,57241982.894164704,954223.8326929933,1443744.6210223187,49397130.056480065,54786846.362398855
2024-11-28 00:00:00,0.3624805137843508,0.37592597741660366,0.18653226113458446,7.011792848430733e-06,0.0,0.0,64235315.9561341,54328007.958464265,1138495.2243002695,1297879.4517363105,49074736.03560953,54582157.10893732
2024-11-29 00:00:00,0.4672488513063215,0.1593767331962878,0.18941171939106682,4.9496218157506305e-06,0.0,0.0,65969963.53507798,57787098.88477047,1065447.564788593,1400425.6294133987,47094536.73355631,53944964.14828645
2024-11-30 00:00:00,0.25501300692627704,0.7280529523285043,0.1606539559209553,8.710219082858503e-06,0.0,0.0,68311618.06527217,61225174.22274278,924430.8447718987,1367947.2322464806,43345158.0902128,54421119.56933924
2024-12-01 00:00:00,0.3697293323585464,0.41685994341651433,0.12774389175379036,7.947841394628451e-06,0.0,0.0,64789685.14475608,50972603.27394534,1067010.709993382,1291102.5670997624,47240249.65591921,50165575.03880281
2024-12-02 00:00:00,0.33825117946761085,0.5058879110522617,0.05014560183463266,4.7596875058109665e-06,0.0,0.0,68922043.62533171,57157567.41447308,1094849.403572268,1406850.3948297652,44550212.19938677,55620019.21375128
2024-12-03 00:00:00,0.3344791947568473,0.24380874786156487,0.11558480286059512,7.66865957251561e-06,0.0,0.0,70610052.9944249,56022287.68113423,1052214.2450333626,1456875.0991023628,46364583.81000652,55837715.47792128
2024-12-04 00:00:00,0.31583573473371707,0.2374323407023076,0.09197713619267595,5.242376957273019e-06,0.0,0.0,66654209.97349635,55181299.48552069,875663.0416729047,1317301.068189395,42002610.74701501,60368315.74054603
2024-12-05 00:00:00,0.410010719167651,0.2766664922882332,0.053079852080164275,8.491586491295688e-06,0.0,0.0,59716245.57196181,56062229.00422564,1085531.736996005,1463844.9629042305,49752877.682977945,50646180.32024364
2024-12-06 00:00:00,0.31402840692593126,0.3044593785755495,0.13234277590964155,7.157412509631679e-06,0.0,0.0,66565166.57546522,52661503.55863401,1037311.1899076393,1565707.069079094,45600862.554471746,53519830.39908635
2024-12-07 00:00:00,0.2588017677415722,0.31305722890594706,0.027905856696989476,6.949372473593435e-06,0.0,0.0,63207428.19246466,50268188.20651746,930962.1322667673,1391774.44680961,48912094.975192174,50142278.49235774
2024-12-08 00:00:00,0.18100053356259152,0.24096404222599258,0.1416256166981985,7.346085851941394e-06,0.0,0.0,59797991.91527919,50478564.520048514,937689.4130140902,1451029.7306260138,46622457.76253218,54220806.51780315
2024-12-09 00:00:00,0.8628076179181393,0.29313534821750814,-0.11869431312082172,1.0939062006284486e-05,0.0,0.0,53951076.41008633,51949608.834762104,1022887.6034255853,1415835.3828289767,43937503.30406954,56105500.09859396
2024-12-10 00:00:00,0.1403278969475117,0.31373754425682787,0.1052876853789759,7.968658891689887e-06,0.0,0.0,58847035.73934787,53759832.67866779,1041502.4928740839,1427992.138282727,49967415.10559898,55155524.38861881
2024-12-11 00:00:00,1.0468967181019886,0.1756055837602383,0.09488913463535498,7.517150608032087e-06,0.0,0.0,55063914.61711246,54045648.01921922,925352.2994580673,1481386.0739163342,50913009.24470033,52823356.247148566
2024-12-12 00:00:00,0.489603063937113,0.3762394112482425,0.1409212472279852,5.894345136701248e-06,0.0,0.0,60350642.59287472,52699071.701435566,990939.5086643704,1506778.8439038221,50240896.40999313,56578470.53367882
2024-12-13 00:00:00,0.3391642538562256,0.3686748818967161,0.06746356417239133,6.283017940017806e-06,0.0,0.0,56481316.36122676,56904922.69897792,1002854.9345481612,1393010.4701464532,47491463.25619291,54396738.4661369
2024-12-14 00:00:00,0.23421857633270074,0.25598670624455355,0.1898038652294472,4.45471111213593e-06,0.0,0.0,55200473.23789609,55016082.52787073,967329.1295153869,1298787.2346707627,46400418.956290916,54554778.282507524
2024-12-15 00:00:00,0.3471731774274484,0.1916891701561893,0.1039589374067465,4.7907049907480676e-06,0.0,0.0,53294823.716522515,54523226.090981655,987886.7224280767,1450239.1890041735,43073387.209428474,56978632.31744135
